Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
07-APR-2025,21758.4,22254,21743.65,22161.6,647107618,49172.14
08-APR-2025,22446.75,22697.2,22270.85,22535.85,468250807,37226.82
09-APR-2025,22460.3,22468.7,22353.25,22399.15,383822618,28996.55
11-APR-2025,22695.4,22923.9,22695.4,22828.55,402162001,33683.6
15-APR-2025,23368.35,23368.35,23207,23328.55,388321931,34216.17
16-APR-2025,23344.1,23452.2,23273.05,23437.2,348424960,28102.36
17-APR-2025,23401.85,23872.35,23298.55,23851.65,505333905,38450.09
21-APR-2025,23949.15,24189.55,23903.65,24125.55,406145632,33125.62
22-APR-2025,24185.4,24242.6,24072,24167.25,440940490,35479.29
23-APR-2025,24357.6,24359.3,24119.95,24328.95,415042544,34527.08
24-APR-2025,24277.9,24347.85,24216.15,24246.7,358768165,33057.29
25-APR-2025,24289,24365.45,23847.85,24039.35,387741866,33430.86
28-APR-2025,24070.25,24355.1,24054.05,24328.5,320467976,28278.82
29-APR-2025,24370.7,24457.65,24290.75,24335.95,357563224,30436.88
30-APR-2025,24342.05,24396.15,24198.75,24334.2,424452559,41073.48
02-MAY-2025,24311.9,24589.15,24238.5,24346.7,421112627,34043.27
05-MAY-2025,24419.5,24526.4,24400.65,24461.15,291471628,26918.36
